RowNumber,CustomerID,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,NetPromoterScore,SatisfactionSurveyScore,CustomerLoyaltyProgram,RewardPointsBalance,AutoRenewalEnabled,PaymentMethod,PaymentFailures,CustomerSupportTickets,IssueResolutionTime,ComplaintSeverity,RefundRequests,MobileAppUsage,WebPortalUsage,AvgSessionDuration,DeviceType,CompetitorWebsiteVisits,ChurnedFriends,MarketSentimentScore
2,15647311,Hill,0.5159999999999999,2,0,41,0.1,0.334031478677259,0.0,0,1,0.5627699176171774,0,0.11055276381909546,1.0,1,0.10009126863401277,0,3,1.0,0.6000000000000001,0.8732394366197184,2,0.0,0.48,0.10344827586206896,0.4545454545454545,1,0.8,0.0,2
3,15619304,Onio,0.30399999999999994,0,0,42,0.8,0.6363571759354565,0.6666666666666667,1,0,0.5697162860656146,1,0.7336683417085427,0.8888888888888888,0,0.6544975154649629,1,1,1.0,0.4,0.04225352112676056,2,0.6666666666666666,0.46,0.10344827586206896,0.509090909090909,1,0.9,0.6000000000000001,2
5,15737888,Mitchell,0.9999999999999999,2,0,43,0.2,0.5002462155052676,0.0,1,1,0.39544334953197446,0,0.15577889447236182,1.0,0,0.8695872629550755,0,0,0.4,0.6000000000000001,0.676056338028169,1,1.0,0.5,0.8275862068965517,0.7272727272727272,1,0.30000000000000004,0.4,0
6,15574012,Chu,0.59,2,1,44,0.8,0.45339436422174445,0.3333333333333333,1,0,0.7488785710041991,1,0.9447236180904522,0.8888888888888888,1,0.33769394584727713,1,1,0.8,0.0,0.4507042253521127,1,0.0,0.74,0.4482758620689655,0.9090909090909091,3,0.30000000000000004,0.6000000000000001,2
7,15592531,Bartlett,0.9440000000000001,0,1,50,0.7000000000000001,0.0,0.3333333333333333,1,1,0.05026636439160876,0,0.36683417085427134,0.2222222222222222,0,0.997160531386269,0,0,0.8,0.0,0.9295774647887325,2,0.6666666666666666,0.02,0.5172413793103449,0.7636363636363636,0,0.7000000000000001,0.0,0
8,15656148,Obinna,0.051999999999999935,1,0,29,0.4,0.4585397202505608,1.0,1,0,0.5967983662263835,1,0.5376884422110553,0.3333333333333333,1,0.8228374404218638,0,1,0.6000000000000001,0.8,0.7746478873239437,2,0.0,0.6,0.6206896551724138,0.2909090909090909,1,0.9,0.6000000000000001,1
9,15792365,He,0.30199999999999994,0,1,44,0.4,0.5661703921301275,0.3333333333333333,0,1,0.3747211180523063,0,0.2814070351758794,0.7777777777777777,1,0.9302301997768988,1,1,1.0,0.2,0.28169014084507044,1,1.0,0.98,0.10344827586206896,0.7454545454545454,3,0.8,0.0,2
10,15592389,H?,0.668,0,1,27,0.2,0.5364882610306042,0.0,1,1,0.35864398510175777,0,0.25125628140703515,0.7777777777777777,1,0.6101815231720921,1,3,0.4,0.6000000000000001,0.2112676056338028,2,0.6666666666666666,0.22,0.3103448275862069,0.6909090909090908,3,0.5,1.0,2
11,15767821,Bearce,0.356,0,1,31,0.6000000000000001,0.4066062041365082,0.3333333333333333,0,0,0.40092956981815686,0,0.1758793969849246,0.7777777777777777,1,0.26366494270357976,0,1,0.2,0.0,0.33802816901408456,1,0.6666666666666666,0.48,1.0,0.8363636363636363,0,0.5,0.6000000000000001,2
12,15737173,Andrews,0.29399999999999993,2,1,24,0.30000000000000004,0.0,0.3333333333333333,1,0,0.3819701483042837,0,0.7336683417085427,0.0,0,0.07707129094412331,1,3,0.0,0.4,0.7746478873239437,1,1.0,0.66,0.3793103448275862,0.2545454545454545,1,0.1,1.0,0
